HNUM_PK,CNUM,CNAME,HTITLE,HDATE,HSTATE,HCARR,HEDU,HSALARY,HTYPE,HDAY,HLEV,HPOS,HPART,HQF,HPER,HHEAL,HSTEP,HAPP,HDOC,HNOTIC
1,1,(주)지디텍,"머신비전 검사장비 개발자 모집(제어시스템, 광학검토 및 응용, C++및 MFC S/W 개발자, 기구설계)",2024.02.04,경기 안양시 동안구,신입·경력,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
유연근무제 
09:30~18:00",면접 후 결정,,"비전 검사 장비 
제어 S/W개발 
검사 S/W개발",초대졸 이상,"관련학과 전공자(신입)
동종업계 근무경험자(경력)","급여제도: 퇴직연금,휴일(특근)수당,4대보험
출퇴근: 통근버스 운행
교육/생활: 구내식당(사원식당),점심식사제공,저녁식사제공
리프레시: 연차,반차,근로자의날휴무,휴가비지원,산전후휴가,남성출산휴가",0,입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
2,2,(주)에스에스티랩,보안검색장비 소프트웨어 설계 사원 채용,상시채용,경기고 성남시 분당구,신입·경력 10년↓,학력무관,회사내규에 따름,정규직,0,개발자,,"X-ray Generator 및 관련기기 제어 S/W 개발
X-ray 영상의 획득과, 이미지데이터의 자동판독을 위한 학습 툴 개발
엑스선 영상에 대한 분석 및 후처리 기술 연구 및 구현
다양한 물리구조에 적합합 3D 영상재구성 알고리즘 연구 개발
2D/3D Viewer 개발","경력 무관
공학계열
Visual Studio C++/MFC 등 응용프로그램 개발 경험자
상기 요건과 동등한 자격이 있다고 판단되는 분 지원가능","산업용 보안검색장비 소프트웨어 개발 경험자
X-ray,CT S/W 경험자
서버구축, 클라우드 플랫폼 활용 및 운용 경험자
GUI 설계 경력자
DSP 경험자(F/W 연동, GUI 연동 등)
Tool: C++/MFC 능숙자, C# 능숙자, MATLAB 능숙자
영어 또는 중국어 가능자",0,서류전형 > 면접전형 > 최종합격,"사람인 입사지원,점핏에서 지원",0,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
3,3,(주)나이콤,[신입/경력] SW개발자(Java/.NET/C#/C/C++) 인재 모집,2024.01.26,경기 안양시 동안구,신입·경력 10년↓,"대졸(2,3년제) 이상",면접 후 결정,정규직,"주 5일(월~금)
09:00~18:00",팀원,,"C/C++ 기반의 소프트웨어 개발
Windows 또는 Android APP개발
장치제어 및 GUI 개발","초대졸 이상
C, C++, C#, .NET 사용 가능 자","1개 이상 언어 능통자
관련학과 졸업자
개발에 대한 전문 지식 및 알고리즘 이해도가 높은 분
유관 부서와 원만한 소통 가능자","지원금/보험: 건강검진,직원대출제도,단체상해보험,복지카드/포인트
급여제도: 퇴직연금,장기근속자포상,우수사원포상,퇴직금
선물: 창립일선물지급,장기근속선물
교육/생활: 워크샵,교육비지원,사우회(경조사회),간식제공,음료제공(차,커피)
근무환경:휴게실,회의실,카페테리아,사원증,안마실/안마의자
조직문화: 자유복장
출퇴근: 회사차량있음,주40시간제시행
리프레시: 연차,반차,근로자의날휴무,산전후휴가,육아휴직",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,지원서 내용이 사실과 다른 것으로 판명될 경우 합격 또는 채용이 취소될 수 있습니다.
4,4,주식회사 넥스버,임베디드 리눅스 C/C++ SW 개발/ 기술지원,2024.01.25,경기 안양시 동안구,신입·경력,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",면접 후 결정,,"임베디드 S/W (Linux기반)관련 개발 및 프로젝트 진행
임베디드 카메라 관련 S/W 개발 및 기술 지원
Nvidia Jetson기반 H/W 인터페이스 기반 S/W구현",경력 무관,"임베디드(Linux OS) 관련 S/W 개발 및 프로젝트 진행 경험자
임베디드 카메라 관련 SW 개발 및 기술지원 경험자
Nvidia Jetson 기반 H/W 인터페이스 기반 S/W 구현 경험자
gcc,g++ 컴파일 환경 개발
컴파일러에 대한 이해 및 makefile 작성
Qt framework 사용","지원금/보험: 건강검진
급여제도: 퇴직연금,인센티브제,우수사원포상,4대보험
교육/생활: 점심식사제공
근무환경: 사원증
출퇴근:차량유류비지급,주차장제공,주차비지원
리프레시: 연차",서류전형 > 면접전형 > 최종합격,입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
5,5,보은전자방송통신(주),"S/W 개발자 신입 채용(윈도우,C#/WPF,C/C++,연봉 3700만)",2024.01.23,서울 강서구,신입,학력무관,"연봉 3,700만원(주40시간)",정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00","연구원,사원/팀원",,"PC기반의 S/W제품 개발(영상 녹화, 스트리밍, 미러링, AI영상분석 등)
모바일 영상처리 앱 개발(녹화, 스트리밍)","C, C++, C#, WPF 윈도우 프로그래밍","안드로이드, ios 앱 개발","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,성과급,직책수당,장기근속수당,4대보험
선물: 명절선물/귀향비
교육/생활: 우수사원시상식,신규입사자교육(OJT),도서구입비지원,점심식사제공,저녁식사제공,식사비지원,음료제공(차,커피)
근무환경: 회의실,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 주차장제공
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무,산전후휴가,육아휴직",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
6,6,인텔릭스(주),소프트웨어(S/W) 개발자 모집,2024.03.02,경기 성남시 분당구,신입·경력 15년↓,대졸(4년제) 이상,면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
08:30~17:30",팀원,,GUI소프트웨어 개발(C# WPE /C++ Qt,"C, C++, C#, Java 중 1개 이상 언어 능통
임베디드 리눅스 개발 유 경험자
해외여행에 결격사유가 없으신 분",인근 거주자,"지원금/보험:건강검진,각종경조사지원,헬스비지급,자녀학자금
급여제도: 퇴직연금,상여금,장기근속자포상,퇴직급,성과급,직책수당,4대보험
선물:명절선물/귀향비,창립일선물지급,생일선물/파티
교육/생활: 신규입사자교육(OJT),직무능력향상교육,구내식당(사원식당),점심식사제공,음료제공(차,커피)
근무환경: 휴게실,회의실,노트북,콘도/리조트이용권,사무용품지급,최고성능컴퓨터
조직문화: 노조/노사협의회,회식강요안함,야근강요안함,자유복장,자유로운연차사용,칼퇴근보장
출퇴근:야간교통비지급,주차비지원,회사차량있음,주52시간제준수,주40시간제시행
리프레시: 연차,경조휴가제,반차,Refresh휴가,창립일휴무,근로자의날휴무,휴가비지원,육아휴직,남성출산휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"서류전형 합격인원에 한해 면접 일시 장소 개별통보 예정
회사에 대한 상세정보는 회사 홈페이지 참조
기타 증빙서류는 합격 후 제출
제출한 서류는 반환되지 않음"
7,7,(주)태영소프트,"VisualC,C++,MFC 개발자 정규직 모집합니다",2024.02.04,"서울 서대문구, 경기 안양시 동안구",무관(신입 포함),학력무관,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금),개발자,,"VisualC, C++, MFC 개발",경력 무관,"C,C++,MFC","지원금/보험: 통신비지원
급여제도: 퇴직금,휴일(특근)수당,4대보험
선물: 명절선물/귀향비
교육/생활: 도서구입비지원,저녁식사제공,음료제공(차,커피)
근무환경:사무용품지급
조직문화:회식강요안함,야근강요안함,자유복장,자유로운연차사용,출산장려
리프레시:연차,여름휴가,반차,창립일휴무,근로자의날휴무,육아휴직",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
8,8,참엔지니어링(주),"참엔지니어링㈜ 영상처리(Vision)개발 인재 채용(C++,C#)",2024.02.09,경기 용인시 처인구,신입·경력 3년 ↑,대졸(4년제) 이상,면접 후 결정,정규직,09:00~18:00,팀원,,"검사 알고리즘 개발(반복 패턴 내 비정형 형상 검사 / 분류 알고리즘)
Reference패턴 영상 사용한 위치 탐색 및 좌표 변환
Repair 설비의 자동화를 위한 영상 처리
고객사 기술지원",경력 무관,"영상처리 알고리즘(C#) 개발 경험자
영상처리 라이브러리 경험자(OpenCV 등)
해외 근무 가능자","지원금/보험: 건강검진,각종경조사지원,단체상해보험
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,휴일(특근)수당,장기근속수당,4대보험
선물: 명절선물/귀향비,창립일선물지급
교육/생활: 구내식당(사원식당),사내동호회 운영,사우회(경조사회),식비지원
근무환경:회의실,사원증,사무용품지급
조직문화:자유복장
출퇴근:기숙사운영,통근버스운행,자율근무제
리프레시:산전후휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
9,9,(주)씨코드,"Linux based 차량용 SW개발자(C/C++) 모집 (신입,경력)",2024.02.29,"경기 용인시 기흥구, 성남시 분당구, 수원시 영통구, 용인시 수지구",무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직,"주 5일(월~금)
09:00~18:00","책임연구원,연구원,선임연구원",,Linux 기반 차량용 SW 개발업무,"경력 무관
C/C++를 이용한 개발 업무 진행 가능한 분","전기/전자공학, 컴퓨터/시스템공학, 공학계열
정보처리기사 자격증 보유자
해당 직무 (인턴) 경력 또는 유사 직무 경험이 있으신 분
JNI(Java Native Interface) 또는 NDK(Native Development Kits on Android Base) 개발 가능자 및 경험자
Radio(FM,AM,DAB 등), DMB 등 Broadcasting 관련 개발 경험자
컴퓨터 활용능력 및 기술문서 작성에 어려움이 없는 분","지원금/보험: 건강검진,직원대출제도,각종경조사지원,업무활동비지급,문화생활비,해외여행지원,복지카드/포인트
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,야근수당,휴일(특근)수당,직책수당,장기근속수당,4대보험
선물: 명절선물/귀향비,창립일선물지급,결혼기념일선물,도서무제한제공,임신/출산선물,장기근속선물
교육/생활: 창립일행사,우수사원시상식,워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,멘토링제도,교육비지원,자기계발비지원,점심식사제공,사내동호회운영,간식제공,음료제공(차,커피)
근무환경: 휴게실,회의실,공기청정기,노트북,사원증,콘도/리조트이용권,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 야간교통비지급,탄력근무제,주52시간제준수
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무,포상휴가,육아휴직,남성출산휴가,보건휴가",서류전형 > 면접전형 > 최종합격,"입사지원,우편지원,방문지원,전화지원",사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
10,10,(주)맥사이언스,검사장비 소프트웨어(S/W) 개발자 채용,2024.02.10,경기 수원시 영통구,무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",팀원,,검사 장비 소프트웨어 개발,"경력 무관
VB.net, C#등 사용 가능자
고객사 현장 업무 가능자","WinForm, WPF 경험자
컴퓨터/시스템공학, 공학계열
컴퓨터활용능력 우수, 인근거주가, 해외근무 가능자, 운전가능자","지원금/보험: 건강검진,각종경조사지원,통신비지원,자녀학자금
급여제도: 인센티브제,장기근속자포상,스톡옵션,퇴직금,4대보험
근무환경: 회의실,카페테리아,노트북,사원증,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영,회사차량있음",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
